"Hash","Path"
"6A2BF0B369624A106803C7ED84F54C6F9EDD5D36","C:\Program Files\Common Files\microsoft shared\ink\InputPersonalization.exe"
"7BBDB42F861DB82CC96D534CD7CE3D85115A2193","C:\Program Files\Common Files\microsoft shared\ink\mip.exe"
"AC6C15C7B4500419221F0745D27C7C9BE1CF67F4","C:\Program Files\Common Files\microsoft shared\ink\ShapeCollector.exe"
"FF4297AC9984C239CB745B8FBAC50B67132E10D8","C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe"
"54FDE7B6CC2F3A4E9B00916448172B92AB68FF3D","C:\Program Files\Common Files\microsoft shared\MSInfo\msinfo32.exe"
"6A42E42B74AF85DE5BCB5DEEC54CBEF83CA66E27","C:\Program Files\Internet Explorer\ExtExport.exe"
"D30369E08D2B38F993FD07DE72E30F6DBE09AF46","C:\Program Files\Internet Explorer\iediagcmd.exe"
"6888A6B34A6B2BDAC0096A453C4E6F8D10E810F3","C:\Program Files\Internet Explorer\ieinstal.exe"
"472A9D3F90A50222D4944C70422734F4955F15A1","C:\Program Files\Internet Explorer\ielowutil.exe"
"9ED866E14BB54406C075929183524039AB851A25","C:\Program Files\Internet Explorer\iexplore.exe"
"CF40A63633969E0B051F676E412384686D4D1E7D","C:\Program Files\Windows Defender\ConfigSecurityPolicy.exe"
"E2B4AC9AEFCA834165FF39AAB7AF24D654505C1D","C:\Program Files\Windows Defender\MpCmdRun.exe"
"85536AD6AFEE43B728ED12EE8CFFCA41F74F6446","C:\Program Files\Windows Defender\MsMpEng.exe"
"AEA15738B561487A58DB15CD44006361FFEEA292","C:\Program Files\Windows Defender\NisSrv.exe"
"9F24697014ECE86A84729729FFC04CB66BB09029","C:\Program Files\Windows Defender\Offline\OfflineScannerShell.exe"
"E4E9B771D2FA84C1C5BF173350F518178F55D69E","C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe"
"CB4A638CEC2B6A1F23912E85ECEC7374CCC8259E","C:\Program Files\Windows Defender Advanced Threat Protection\SenseCncProxy.exe"
"6AA36A18288B452FDC9FD7675A953192C9E5CAA6","C:\Program Files\Windows Defender Advanced Threat Protection\SenseIR.exe"
